grid_id,row,column,x,y,z,sionna_rssi_dbm,path_gain_linear
grid-r000-c032,0,32,24.625,0.625,0.44999998807907104,-93.39522735200319,4.575907795040246e-12
grid-r000-c033,0,33,25.375,0.625,0.44999998807907104,-89.36347688337683,1.1578500311304474e-11
grid-r000-c034,0,34,26.125,0.625,0.44999998807907104,-87.32072735081637,1.8532212223143496e-11
grid-r000-c035,0,35,26.875,0.625,0.44999998807907104,-87.32343605865303,1.8520657230070015e-11
grid-r000-c036,0,36,27.625,0.625,0.44999998807907104,-87.66499807646186,1.7119859349601363e-11
grid-r000-c037,0,37,28.375,0.625,0.44999998807907104,-85.2299002306336,2.99923141877656e-11
grid-r000-c038,0,38,29.125,0.625,0.44999998807907104,-94.04193428129226,3.942816559354689e-12
grid-r000-c039,0,39,29.875,0.625,0.44999998807907104,-95.00582698926675,3.1580376334827687e-12
grid-r000-c040,0,40,30.625,0.625,0.44999998807907104,-96.9249721777594,2.030031524824505e-12
grid-r000-c041,0,41,31.375,0.625,0.44999998807907104,-99.55654459495287,1.1075046045180836e-12
grid-r000-c042,0,42,32.125,0.625,0.44999998807907104,-100.3704344077922,9.182407438579343e-13
grid-r000-c048,0,48,36.625,0.625,0.44999998807907104,-77.87838236058435,1.6299030181077256e-10
grid-r000-c049,0,49,37.375,0.625,0.44999998807907104,-71.18917458470872,7.60470797445123e-10
grid-r000-c050,0,50,38.125,0.625,0.44999998807907104,-72.65165114644378,5.430438321241127e-10
grid-r000-c051,0,51,38.875,0.625,0.44999998807907104,-71.87813019308894,6.489137560627967e-10
grid-r001-c032,1,32,24.625,1.375,0.44999998807907104,-87.67775131235621,1.7069659921653546e-11
grid-r001-c033,1,33,25.375,1.375,0.44999998807907104,-91.42641258099638,7.200435126614169e-12
grid-r001-c034,1,34,26.125,1.375,0.44999998807907104,-95.61149893765135,2.746945899911868e-12
grid-r001-c035,1,35,26.875,1.375,0.44999998807907104,-89.20901007550782,1.1997727464296837e-11
grid-r001-c036,1,36,27.625,1.375,0.44999998807907104,-87.66219314386852,1.713091994648419e-11
grid-r001-c037,1,37,28.375,1.375,0.44999998807907104,-87.1690405503658,1.9190926625611837e-11
grid-r001-c038,1,38,29.125,1.375,0.44999998807907104,-87.97913958642869,1.5925242027869935e-11
grid-r001-c039,1,39,29.875,1.375,0.44999998807907104,-96.40564502836561,2.287891881155857e-12
grid-r001-c040,1,40,30.625,1.375,0.44999998807907104,-94.6175280162044,3.4534024945243047e-12
grid-r001-c041,1,41,31.375,1.375,0.44999998807907104,-97.0637154427039,1.9662034587281108e-12
grid-r001-c042,1,42,32.125,1.375,0.44999998807907104,-107.95702384079573,1.6006545589843102e-13
grid-r001-c048,1,48,36.625,1.375,0.44999998807907104,-77.22336118581558,1.8952385494319657e-10
grid-r001-c049,1,49,37.375,1.375,0.44999998807907104,-73.24543825196442,4.736485093026488e-10
grid-r001-c050,1,50,38.125,1.375,0.44999998807907104,-70.37573130107268,9.171214898628932e-10
grid-r001-c051,1,51,38.875,1.375,0.44999998807907104,-71.34005564399521,7.3450445725598e-10
grid-r002-c032,2,32,24.625,2.125,0.44999998807907104,-85.27950943393049,2.965166306934108e-11
grid-r002-c033,2,33,25.375,2.125,0.44999998807907104,-86.59129264122255,2.1921523624124362e-11
grid-r002-c034,2,34,26.125,2.125,0.44999998807907104,-90.74093621733213,8.431529779917568e-12
grid-r002-c035,2,35,26.875,2.125,0.44999998807907104,-95.25887285512788,2.9792895581137735e-12
grid-r002-c036,2,36,27.625,2.125,0.44999998807907104,-90.77849904366722,8.358918592021869e-12
grid-r002-c037,2,37,28.375,2.125,0.44999998807907104,-88.09157210722462,1.5518251614277112e-11
grid-r002-c038,2,38,29.125,2.125,0.44999998807907104,-86.1897276808488,2.4045135674222173e-11
grid-r002-c039,2,39,29.875,2.125,0.44999998807907104,-91.98285207778794,6.3345357605160135e-12
grid-r002-c040,2,40,30.625,2.125,0.44999998807907104,-94.48259519192035,3.562381943253423e-12
grid-r002-c048,2,48,36.625,2.125,0.44999998807907104,-76.35753406076161,2.3133779614159522e-10
grid-r002-c049,2,49,37.375,2.125,0.44999998807907104,-70.29638881275392,9.340306306171442e-10
grid-r002-c050,2,50,38.125,2.125,0.44999998807907104,-72.74122673697342,5.319579776674743e-10
grid-r002-c051,2,51,38.875,2.125,0.44999998807907104,-72.5058690423971,5.615818921000937e-10
grid-r003-c032,3,32,24.625,2.875,0.44999998807907104,-92.50547692990276,5.616325980672965e-12
grid-r003-c033,3,33,25.375,2.875,0.44999998807907104,-85.10926956186395,3.083706553996812e-11
grid-r003-c034,3,34,26.125,2.875,0.44999998807907104,-85.93759094138252,2.5482433871348853e-11
grid-r003-c035,3,35,26.875,2.875,0.44999998807907104,-93.37178456724433,4.600674875787636e-12
grid-r003-c036,3,36,27.625,2.875,0.44999998807907104,-87.73154015836892,1.6859550214243235e-11
grid-r003-c037,3,37,28.375,2.875,0.44999998807907104,-89.76032484456935,1.0567384640947086e-11
grid-r003-c038,3,38,29.125,2.875,0.44999998807907104,-87.18004333404753,1.9142368246072294e-11
grid-r003-c039,3,39,29.875,2.875,0.44999998807907104,-85.43265006965376,2.862430778516334e-11
grid-r003-c040,3,40,30.625,2.875,0.44999998807907104,-89.09963511058183,1.2303721409756552e-11
grid-r003-c048,3,48,36.625,2.875,0.44999998807907104,-72.8505291520596,5.187368312675744e-10
grid-r003-c049,3,49,37.375,2.875,0.44999998807907104,-71.07624993345765,7.805037727237618e-10
grid-r003-c050,3,50,38.125,2.875,0.44999998807907104,-68.6372744187539,1.3685874655777752e-09
grid-r003-c051,3,51,38.875,2.875,0.44999998807907104,-70.08784761793228,9.799755451567194e-10
grid-r004-c032,4,32,24.625,3.625,0.44999998807907104,-92.01234551854316,6.291662937168985e-12
grid-r004-c033,4,33,25.375,3.625,0.44999998807907104,-90.9290174810805,8.074176743866346e-12
